Hour,Day,Zone,Event,Weather,Visitors
14,Thursday,Cinema,No,Cloudy,250
14,Wednesday,Shopping area,Yes,Cloudy,673
15,Wednesday,Parking,No,Cloudy,180
14,Tuesday,Gaming Zone,Yes,Sunny,489
13,Sunday,Parking,No,Sunny,416
10,Sunday,Cinema,No,Sunny,352
8,Thursday,Parking,Yes,Sunny,587
14,Thursday,Gaming Zone,No,Sunny,84
13,Monday,Gaming Zone,No,Cloudy,65
11,Saturday,Cinema,Yes,Cloudy,741
9,Tuesday,Parking,Yes,Cloudy,598
11,Monday,Parking,No,Sunny,134
9,Sunday,Cinema,No,Rainy,462
12,Sunday,Cinema,No,Rainy,518
15,Monday,Gaming Zone,No,Sunny,115
10,Monday,Shopping area,No,Sunny,197
8,Thursday,Entrance,No,Sunny,245
15,Friday,Shopping area,No,Sunny,309
10,Monday,Shopping area,No,Cloudy,229
14,Saturday,Shopping area,No,Sunny,508
9,Thursday,Cinema,No,Cloudy,165
11,Saturday,Cinema,No,Sunny,324
10,Friday,Gaming Zone,Yes,Sunny,617
9,Friday,Parking,No,Cloudy,289
11,Thursday,Gaming Zone,No,Cloudy,80
8,Sunday,Parking,No,Sunny,421
13,Monday,Gaming Zone,No,Sunny,103
13,Friday,Entrance,No,Sunny,318
14,Wednesday,Parking,No,Sunny,163
9,Thursday,Gaming Zone,No,Sunny,96
8,Friday,Entrance,Yes,Sunny,748
14,Friday,Entrance,No,Cloudy,358
12,Thursday,Foodcourt,Yes,Sunny,828
10,Monday,Parking,No,Cloudy,198
13,Saturday,Shopping area,Yes,Cloudy,870
15,Friday,Shopping area,No,Cloudy,290
10,Tuesday,Shopping area,Yes,Sunny,630
15,Monday,Shopping area,No,Sunny,158
14,Sunday,Parking,No,Sunny,387
8,Saturday,Gaming Zone,No,Cloudy,352
14,Monday,Entrance,No,Cloudy,265
10,Monday,Gaming Zone,Yes,Cloudy,530
10,Saturday,Entrance,No,Sunny,504
13,Wednesday,Cinema,No,Cloudy,69
8,Saturday,Cinema,No,Sunny,371
15,Monday,Gaming Zone,No,Cloudy,123
13,Saturday,Parking,Yes,Sunny,836
9,Friday,Parking,No,Cloudy,300
8,Friday,Gaming Zone,No,Sunny,201
8,Thursday,Gaming Zone,No,Sunny,96
13,Wednesday,Gaming Zone,No,Rainy,261
10,Thursday,Entrance,No,Sunny,248
15,Sunday,Entrance,No,Sunny,517
9,Wednesday,Parking,No,Cloudy,182
13,Sunday,Foodcourt,No,Sunny,672
8,Wednesday,Parking,No,Sunny,168
14,Tuesday,Shopping area,No,Cloudy,190
15,Saturday,Parking,Yes,Sunny,842
11,Tuesday,Foodcourt,No,Cloudy,77
13,Friday,Parking,No,Sunny,268
11,Tuesday,Parking,No,Sunny,204
11,Thursday,Gaming Zone,No,Sunny,87
12,Thursday,Parking,No,Cloudy,129
8,Sunday,Shopping area,No,Sunny,474
12,Tuesday,Cinema,No,Sunny,90
9,Monday,Foodcourt,No,Sunny,103
8,Friday,Cinema,No,Sunny,180
12,Sunday,Shopping area,No,Sunny,518
12,Saturday,Entrance,No,Sunny,492
13,Thursday,Cinema,No,Sunny,84
15,Friday,Gaming Zone,No,Sunny,240
12,Thursday,Foodcourt,No,Sunny,364
10,Tuesday,Entrance,No,Cloudy,264
9,Monday,Gaming Zone,No,Rainy,253
15,Thursday,Foodcourt,No,Sunny,112
11,Wednesday,Entrance,Yes,Rainy,661
11,Friday,Cinema,No,Sunny,202
14,Monday,Foodcourt,No,Cloudy,89
9,Saturday,Foodcourt,No,Sunny,323
10,Friday,Gaming Zone,No,Rainy,383
11,Tuesday,Cinema,No,Cloudy,99
9,Monday,Parking,No,Sunny,182
14,Friday,Entrance,No,Sunny,341
8,Saturday,Cinema,Yes,Sunny,831
11,Friday,Entrance,Yes,Sunny,752
11,Wednesday,Foodcourt,No,Sunny,106
10,Thursday,Entrance,No,Sunny,295
14,Thursday,Entrance,No,Cloudy,260
12,Saturday,Parking,No,Sunny,443
12,Friday,Cinema,No,Sunny,221
12,Monday,Parking,Yes,Rainy,562
12,Thursday,Parking,No,Sunny,174
10,Sunday,Parking,No,Sunny,412
11,Friday,Entrance,No,Cloudy,348
11,Saturday,Entrance,No,Sunny,491
13,Tuesday,Gaming Zone,Yes,Sunny,511
14,Friday,Parking,Yes,Rainy,701
8,Tuesday,Entrance,No,Sunny,223
8,Friday,Parking,No,Rainy,334
15,Tuesday,Gaming Zone,No,Sunny,79
11,Tuesday,Gaming Zone,No,Rainy,202
11,Friday,Gaming Zone,No,Sunny,209
10,Friday,Parking,Yes,Cloudy,646
15,Saturday,Foodcourt,No,Sunny,395
15,Monday,Parking,Yes,Rainy,587
14,Monday,Parking,Yes,Sunny,552
8,Tuesday,Entrance,No,Sunny,250
12,Friday,Cinema,No,Sunny,201
12,Saturday,Entrance,No,Rainy,465
8,Tuesday,Gaming Zone,No,Sunny,113
9,Tuesday,Parking,No,Sunny,184
12,Saturday,Parking,No,Sunny,458
14,Sunday,Cinema,No,Cloudy,519
11,Tuesday,Parking,No,Cloudy,171
14,Wednesday,Shopping area,Yes,Sunny,657
11,Saturday,Foodcourt,Yes,Rainy,901
11,Tuesday,Entrance,No,Sunny,259
12,Tuesday,Cinema,No,Sunny,99
10,Wednesday,Entrance,No,Sunny,290
11,Thursday,Entrance,Yes,Sunny,629
12,Tuesday,Cinema,No,Sunny,86
12,Saturday,Cinema,No,Sunny,330
11,Tuesday,Parking,No,Sunny,177
8,Sunday,Entrance,No,Sunny,501
10,Sunday,Cinema,No,Cloudy,354
11,Sunday,Parking,No,Cloudy,410
13,Tuesday,Cinema,No,Sunny,110
14,Saturday,Shopping area,No,Sunny,450
9,Saturday,Shopping area,No,Sunny,450
14,Monday,Entrance,No,Sunny,264
11,Monday,Entrance,No,Sunny,283
9,Sunday,Gaming Zone,No,Sunny,317
15,Monday,Gaming Zone,No,Sunny,134
9,Wednesday,Shopping area,Yes,Cloudy,587
8,Friday,Parking,No,Sunny,309
13,Saturday,Parking,No,Cloudy,428
14,Wednesday,Shopping area,No,Cloudy,239
14,Saturday,Parking,No,Sunny,433
10,Saturday,Entrance,No,Sunny,531
12,Saturday,Foodcourt,No,Sunny,647
8,Thursday,Entrance,No,Cloudy,244
13,Wednesday,Gaming Zone,No,Sunny,103
13,Tuesday,Foodcourt,No,Sunny,415
11,Monday,Cinema,No,Sunny,74
14,Saturday,Shopping area,No,Rainy,479
8,Tuesday,Gaming Zone,No,Rainy,234
15,Saturday,Gaming Zone,Yes,Sunny,735
13,Wednesday,Cinema,No,Sunny,114
13,Tuesday,Parking,No,Cloudy,210
14,Saturday,Shopping area,No,Sunny,459
14,Sunday,Entrance,No,Cloudy,520
15,Wednesday,Shopping area,No,Sunny,164
10,Tuesday,Gaming Zone,No,Cloudy,124
11,Friday,Parking,No,Cloudy,282
10,Sunday,Entrance,No,Sunny,511
8,Saturday,Parking,No,Sunny,438
12,Thursday,Cinema,No,Sunny,135
10,Sunday,Shopping area,No,Sunny,458
10,Wednesday,Cinema,Yes,Rainy,620
14,Sunday,Foodcourt,Yes,Sunny,732
12,Saturday,Foodcourt,No,Sunny,694
15,Friday,Foodcourt,No,Sunny,214
8,Saturday,Shopping area,No,Rainy,467
13,Friday,Cinema,No,Sunny,219
14,Monday,Entrance,Yes,Sunny,607
8,Friday,Entrance,No,Cloudy,388
9,Monday,Shopping area,No,Sunny,214
9,Wednesday,Foodcourt,Yes,Sunny,515
10,Thursday,Shopping area,No,Sunny,152
15,Monday,Entrance,No,Sunny,248
9,Thursday,Foodcourt,No,Sunny,80
12,Monday,Entrance,No,Sunny,245
10,Wednesday,Shopping area,No,Sunny,184
15,Wednesday,Foodcourt,No,Cloudy,136
9,Tuesday,Parking,No,Sunny,150
8,Friday,Shopping area,No,Sunny,325
13,Tuesday,Gaming Zone,Yes,Rainy,680
10,Sunday,Shopping area,No,Sunny,415
8,Sunday,Cinema,No,Cloudy,341
15,Saturday,Parking,Yes,Sunny,824
12,Saturday,Cinema,No,Sunny,355
8,Sunday,Cinema,No,Sunny,332
11,Friday,Gaming Zone,No,Rainy,312
14,Tuesday,Shopping area,No,Sunny,248
12,Friday,Parking,No,Sunny,270
9,Saturday,Gaming Zone,No,Cloudy,361
15,Wednesday,Parking,No,Sunny,236
8,Tuesday,Cinema,No,Sunny,30
13,Wednesday,Parking,Yes,Sunny,566
10,Saturday,Foodcourt,No,Cloudy,330
8,Saturday,Foodcourt,No,Cloudy,338
9,Saturday,Cinema,No,Sunny,363
10,Tuesday,Gaming Zone,No,Sunny,129
12,Thursday,Parking,No,Sunny,186
11,Saturday,Shopping area,No,Sunny,464
11,Monday,Shopping area,No,Sunny,250
9,Sunday,Parking,No,Sunny,437
10,Wednesday,Gaming Zone,No,Sunny,57
12,Wednesday,Foodcourt,No,Sunny,368
8,Monday,Cinema,No,Sunny,66
14,Wednesday,Shopping area,No,Sunny,212
10,Wednesday,Entrance,No,Rainy,233
14,Monday,Gaming Zone,No,Cloudy,120
14,Friday,Parking,No,Rainy,295
9,Monday,Gaming Zone,No,Rainy,260
14,Tuesday,Cinema,No,Sunny,285
14,Friday,Entrance,No,Sunny,383
14,Saturday,Gaming Zone,Yes,Sunny,741
9,Sunday,Entrance,No,Sunny,478
10,Friday,Shopping area,No,Cloudy,388
11,Sunday,Entrance,No,Cloudy,503
12,Tuesday,Gaming Zone,No,Sunny,142
9,Tuesday,Parking,No,Sunny,196
10,Sunday,Parking,No,Cloudy,425
12,Saturday,Cinema,No,Sunny,333
13,Monday,Gaming Zone,No,Sunny,61
10,Friday,Parking,No,Cloudy,296
15,Monday,Cinema,Yes,Sunny,720
8,Monday,Gaming Zone,No,Rainy,274
13,Wednesday,Parking,No,Sunny,174
11,Thursday,Shopping area,No,Cloudy,235
13,Tuesday,Shopping area,No,Sunny,207
8,Tuesday,Shopping area,Yes,Cloudy,588
8,Wednesday,Gaming Zone,Yes,Sunny,514
9,Wednesday,Foodcourt,No,Rainy,247
12,Friday,Entrance,No,Sunny,373
9,Wednesday,Entrance,No,Sunny,234
9,Thursday,Foodcourt,Yes,Cloudy,499
12,Wednesday,Shopping area,No,Sunny,221
12,Thursday,Cinema,Yes,Rainy,634
9,Friday,Parking,No,Cloudy,313
10,Friday,Cinema,No,Sunny,171
15,Thursday,Entrance,No,Sunny,220
12,Tuesday,Gaming Zone,No,Cloudy,81
14,Friday,Shopping area,Yes,Sunny,706
14,Sunday,Foodcourt,Yes,Cloudy,765
12,Thursday,Foodcourt,No,Cloudy,400
14,Tuesday,Gaming Zone,No,Cloudy,102
15,Saturday,Shopping area,No,Sunny,467
11,Sunday,Parking,No,Cloudy,436
11,Thursday,Foodcourt,Yes,Sunny,518
13,Monday,Parking,No,Sunny,204
9,Saturday,Cinema,No,Cloudy,307
12,Wednesday,Entrance,No,Sunny,284
10,Wednesday,Foodcourt,No,Sunny,116
10,Friday,Entrance,No,Cloudy,348
12,Wednesday,Gaming Zone,Yes,Cloudy,487
10,Monday,Parking,No,Sunny,171
12,Sunday,Cinema,No,Sunny,372
14,Tuesday,Cinema,No,Cloudy,274
15,Thursday,Foodcourt,Yes,Sunny,508
14,Wednesday,Parking,No,Sunny,191
12,Thursday,Cinema,Yes,Rainy,645
13,Saturday,Entrance,No,Sunny,466
8,Saturday,Entrance,No,Cloudy,522
15,Wednesday,Cinema,No,Sunny,237
13,Tuesday,Parking,Yes,Cloudy,610
